Time,Rudder,Aileron,Elevator,Flap,Velocity kt,a_x fts^2,a_y fts^2,a_z fts^2,Side-slip angle deg,Angle of attack deg,Roll rate degs,Pitch rate degs,Yaw rate degs,Roll deg,Pitch deg
2781.44,0.05,-0.00384707625,-0.009454432781,0,108.1564637,-0.06643088249,0.2811609452,-31.94982239,-0.5889046683,-0.3073047398,0.3944886609,-0.02070889697,1.770854595,-0.3170538761,0.2058280533
2781.46,0.05,-0.00384707625,-0.009454432781,0,108.1554295,-0.07594550168,0.3127961886,-31.95033719,-0.6184326687,-0.3071896751,0.4711547534,-0.017700243,1.816177324,-0.3101622309,0.2055033702
2781.49,0.05,-0.00384707625,-0.009454432781,0,108.1530979,-0.0953229529,0.3767933586,-31.95368924,-0.6791744611,-0.3067731968,0.6315506009,-0.01105173311,1.893156129,-0.2924745241,0.2050102995
2781.51,0.05,-0.00384707625,-0.009454432781,0,108.1517971,-0.1051157763,0.4090193819,-31.95655748,-0.7102254754,-0.3064658645,0.7147352671,-0.007486878896,1.924836107,-0.2816037996,0.2048483925
2781.55,0.05,-0.00384707625,-0.009454432781,0,108.1489187,-0.1247568425,0.4735804323,-31.96474425,-0.7732847965,-0.3056433458,0.8857706166,-7.650080207e-05,1.974711904,-0.2556554981,0.2047052297
2781.58,0.05,-0.00384707625,-0.009454432781,0,108.1465101,-0.1394417697,0.5218246831,-31.9731003,-0.8211051618,-0.3048418457,1.017141015,0.005582600476,2.000487537,-0.2324202048,0.2047607076
2781.6,0.05,-0.00384707625,-0.009454432781,0,108.1438913,-0.1539885959,0.5696588034,-31.98331829,-0.8690839074,-0.3038828588,1.150254799,0.01119450585,2.016504447,-0.2058846074,0.2049569678
2781.63,0.05,-0.00384707625,-0.009454432781,0,108.1410577,-0.1683139856,0.6168567502,-31.99530711,-0.9169663139,-0.3027702031,1.284325511,0.01663927421,2.023000031,-0.1760117284,0.2052918156
2781.65,0.05,-0.00384707625,-0.009454432781,0,108.1380093,-0.182361914,0.6631989166,-32.00903804,-0.9645048767,-0.3015110754,1.418594513,0.02182506293,2.020252978,-0.1427840206,0.2057602946
2781.67,0.05,-0.00384707625,-0.009454432781,0,108.134747,-0.1960608112,0.7084733738,-32.02435972,-1.011460864,-0.300114656,1.552332468,0.02666574848,2.00858071,-0.1062026602,0.2063552108
2781.68,0.05,-0.00384707625,-0.009454432781,0,108.1324578,-0.2049633941,0.7379615496,-32.03535896,-1.042327199,-0.2991127999,1.640849589,0.02966013852,1.996013847,-0.07996069096,0.2068175628
2781.72,0.05,-0.00384707625,-0.009454432781,0,108.1275935,-0.2221791533,0.7950186598,-32.05915265,-1.102719281,-0.2969569023,1.815448612,0.03502759132,1.9599074,-0.0230728592,0.2078855167
2781.73,0.05,-0.00384707625,-0.009454432781,0,108.1250243,-0.230456212,0.8224785907,-32.07181238,-1.132120749,-0.2958112613,1.901150529,0.03737564329,1.936612082,0.007543274171,0.2084840543
2781.77,0.05,-0.00384707625,-0.009454432781,0,108.1196187,-0.2462788718,0.8750094948,-32.09834729,-1.189043002,-0.29340713,2.068459179,0.04135236981,1.880189171,0.07302235483,0.2097911729
2781.78,0.05,-0.00384707625,-0.009454432781,0,108.1167857,-0.2538095645,0.8999879856,-32.11213702,-1.216454702,-0.2921583777,2.149726453,0.0429765575,1.847337254,0.107837407,0.2104917297
2781.82,0.05,-0.00384707625,-0.009454432781,0,108.1108691,-0.2680461409,0.9471588961,-32.14039768,-1.268926309,-0.2895918954,2.306692928,0.04549870248,1.773074117,0.1814780749,0.2119667263
2781.84,0.05,-0.00384707625,-0.009454432781,0,108.1077898,-0.2747417758,0.9692753753,-32.15478416,-1.293893223,-0.2882840725,2.382097033,0.04640191824,1.731962796,0.220239736,0.2127331422
2781.86,0.05,-0.00384707625,-0.009454432781,0,108.103023,-0.284233269,1.000518535,-32.17649022,-1.329638072,-0.2863055751,2.490968822,0.04733462344,1.665755208,0.2807096581,0.213907964
2781.88,0.05,-0.00384707625,-0.009454432781,0,108.0997583,-0.2901828248,1.020013898,-32.19096753,-1.352273383,-0.2849824184,2.560543153,0.04768881595,1.618820108,0.3225186288,0.2147026063
2781.92,0.05,-0.00384707625,-0.009454432781,0,108.0912841,-0.3036904421,1.063904573,-32.22673032,-1.40443464,-0.2816936358,2.723123376,0.04771340886,1.492867556,0.4319741858,0.2167041264
2781.93,0.05,-0.00384707625,-0.009454432781,0,108.0877806,-0.3085419078,1.079465904,-32.24075201,-1.423449437,-0.2803976067,2.783345845,0.04741805191,1.439468934,0.4776138049,0.217502444
2781.97,0.05,-0.00384707625,-0.009454432781,0,108.0805954,-0.3172700044,1.107078574,-32.26798503,-1.458170444,-0.2778616532,2.895060173,0.04638584449,1.328403337,0.5718199712,0.2190801528
2781.99,0.05,-0.00384707625,-0.009454432781,0,108.0750669,-0.3229668538,1.124674873,-32.28757897,-1.481237641,-0.2760238228,2.970916437,0.04528401859,1.242018347,0.6448419555,0.2202377678
2782.01,0.05,-0.00384707625,-0.009454432781,0,108.0713134,-0.3263558703,1.134908494,-32.30015981,-1.495171345,-0.274835801,3.017594249,0.04442674338,1.183267143,0.6945553364,0.2209936528
2782.04,0.05,-0.00384707625,-0.009454432781,0,108.0636805,-0.3321440135,1.151776086,-32.32395899,-1.519519687,-0.2725629094,3.101387926,0.04248641641,1.06371021,0.7962233831,0.2224607111
2782.06,0.05,-0.00384707625,-0.009454432781,0,108.0598045,-0.3345508284,1.158413039,-32.33515034,-1.529920807,-0.2714836469,3.138428835,0.04143131907,1.003225977,0.8480712445,0.2231695804
2782.09,0.05,-0.00384707625,-0.009454432781,0,108.0519511,-0.3383907045,1.168121668,-32.3559377,-1.547163099,-0.2694518665,3.202672036,0.03923264743,0.881635236,0.9535235045,0.2245341491
2782.11,0.05,-0.00384707625,-0.009454432781,0,108.0479808,-0.3398270455,1.171213085,-32.3654887,-1.554007026,-0.2685034402,3.229847723,0.03811560993,0.8208370512,1.007018362,0.2251890724
2782.14,0.05,-0.00384707625,-0.009454432781,0,108.0399711,-0.3417391667,1.173935839,-32.38278045,-1.564167393,-0.2667497518,3.274299499,0.03589523039,0.6999835018,1.115270559,0.2264437136
2782.16,0.05,-0.00384707625,-0.009454432781,0,108.0359388,-0.342228916,1.173602755,-32.39052315,-1.567502359,-0.2659473984,3.291594775,0.0348180369,0.6402178189,1.169917999,0.227043795
2782.18,0.05,-0.00384707625,-0.009454432781,0,108.0298696,-0.3423869624,1.171042857,-32.4009555,-1.570358423,-0.2648398135,3.311430185,0.03326803509,0.5517883004,1.252387127,0.2279111063
2782.22,0,-0.00384707625,-0.009454432781,0,108.0217418,-0.317516225,1.526415371,-32.40187108,-1.569289439,-0.2635458695,3.366650033,0.03265646277,0.3763077418,1.362991982,0.2290095828
2782.23,0,-0.00384707625,-0.009454432781,0,108.0176821,-0.3168911869,1.49625166,-32.40917285,-1.564823754,-0.2629559285,3.435883371,0.03493269243,0.20106863,1.419412752,0.2295703269
2782.26,0,-0.00384707625,-0.009454432781,0,108.0096108,-0.3127742916,1.436135047,-32.42223764,-1.546898136,-0.2618601365,3.518499646,0.04126201508,-0.1380620894,1.535156015,0.2308260503
2782.29,0,-0.00384707625,-0.009454432781,0,108.0036346,-0.3072728157,1.389086676,-32.43059644,-1.525882969,-0.2611309786,3.53851291,0.04713245489,-0.3812533735,1.623346478,0.231920125
2782.31,0,-0.00384707625,-0.009454432781,0,107.9997034,-0.3025273135,1.356398411,-32.4353964,-1.508424144,-0.2606988945,3.534549436,0.05140462584,-0.5375248456,1.682318993,0.232734104
2782.33,0,-0.00384707625,-0.009454432781,0,107.9920046,-0.2906096578,1.287307711,-32.44290493,-1.465642017,-0.259987686,3.490174033,0.06043383334,-0.8348306248,1.799702657,0.23458302
2782.37,0,-0.00384707625,-0.009454432781,0,107.9864042,-0.2797014191,1.232007102,-32.4465748,-1.427061161,-0.2596075616,3.428672053,0.06735022444,-1.043542307,1.886486388,0.236170836
2782.38,0,-0.00384707625,-0.009454432781,0,107.9827671,-0.2715525363,1.19345116,-32.44799358,-1.398442646,-0.2594353407,3.375724937,0.07191494156,-1.175488158,1.943419929,0.2373259691
2782.42,-0.05,-0.00384707625,-0.009454432781,0,107.9757558,-0.2304465803,1.474606012,-32.43745996,-1.333783614,-0.2593019456,3.284170097,0.08276827354,-1.481763686,2.05438499,0.2398627819
2782.43,-0.05,-0.00384707625,-0.009454432781,0,107.9724007,-0.2207527776,1.407162039,-32.43862057,-1.296154994,-0.2593271192,3.273079875,0.09157768575,-1.714492397,2.109100512,0.2412937302
2782.46,-0.05,-0.00384707625,-0.009454432781,0,107.9675919,-0.2039551649,1.306055963,-32.43877561,-1.232621815,-0.259468174,3.213763572,0.1053630246,-2.0467692,2.190522143,0.2437216047
2782.49,-0.05,-0.00384707625,-0.009454432781,0,107.9616406,-0.1774739654,1.168475894,-32.43579735,-1.135565904,-0.2598741075,3.066688813,0.1239893822,-2.456787721,2.295994274,0.2475021438
2782.51,-0.05,-0.00384707625,-0.009454432781,0,107.9588915,-0.1626038822,1.098152552,-32.43291247,-1.082142747,-0.2601795573,2.968172653,0.1330899783,-2.647035924,2.346711025,0.2496251289
2782.53,-0.05,-0.00384707625,-0.009454432781,0,107.9563052,-0.1467090232,1.026712364,-32.42905908,-1.025699418,-0.2605573945,2.855075999,0.1418795856,-2.827132546,2.395723541,0.2518989809
2782.57,-0.05,-0.00384707625,-0.009454432781,0,107.9506089,-0.1027873326,0.8432384565,-32.41508553,-0.8726126957,-0.2618301732,2.51706494,0.1617347841,-3.231728312,2.509295167,0.2582007667
2782.58,-0.05,-0.00384707625,-0.009454432781,0,107.9486593,-0.08367181099,0.7680253775,-32.40778128,-0.8070905644,-0.2624726074,2.362734294,0.1685556414,-3.374914647,2.550613017,0.2609444319
2782.61,-0.05,-0.00384707625,-0.009454432781,0,107.9469085,-0.06373917039,0.6918949363,-32.39950077,-0.7394106994,-0.2631909211,2.19898772,0.1745974001,-3.507273819,2.589318409,0.2637983978
2782.64,-0.05,-0.00384707625,-0.009454432781,0,107.9434424,-0.01063099959,0.4983102692,-32.37462433,-0.5620639112,-0.2653095257,1.754257109,0.1857558259,-3.790371201,2.673684306,0.2713241898
